time,name,country,event,gender,year
09:34.2,Natalya Vlasova (Russia),Russia,3000m Steeplechase,female,2014
09:34.7,Aisha Praught (US),United States,3000m Steeplechase,female,2014
09:35.2,Zhenzhu Li (China),China,3000m Steeplechase,female,2014
09:35.3,Yekaterina Doseykina (Russia),Russia,3000m Steeplechase,female,2014
09:35.4,Lalita Babar (India),India,3000m Steeplechase,female,2014
09:35.5,Gesa-Felicitas Krause (Germany),Germany,3000m Steeplechase,female,2014
09:35.6,Sudha Singh (India),India,3000m Steeplechase,female,2014
09:36.4,Leah O’Connor (US),United States,3000m Steeplechase,female,2014
09:36.6,Katarzyna Kowalska (Poland),Poland,3000m Steeplechase,female,2014
09:37.8,Fabienne Schlumpf (Switzerland),Switzerland,3000m Steeplechase,female,2014
09:39.1,Shalaya Kipp (US),United States,3000m Steeplechase,female,2014
14:28.9,Genzebe Dibaba (Ethiopia),Ethiopia,5000m,female,2014
14:29.2,Almaz Ayana (Ethiopia),Ethiopia,5000m,female,2014
14:33.7,Viola Kibiwot (Kenya),Kenya,5000m,female,2014
14:37.2,Sally Kipyego (Kenya),Kenya,5000m,female,2014
14:39.5,Betsy Saina (Kenya),Kenya,5000m,female,2014
14:42.6,Molly Huddle (US),United States,5000m,female,2014
14:43.1,Mercy Cherono (Kenya),Kenya,5000m,female,2014
14:48.7,Shannon Rowbury (US),United States,5000m,female,2014
14:52.6,Janet Kisa (Kenya),Kenya,5000m,female,2014
14:52.7,Alemitu Haroye (Ethiopia),Ethiopia,5000m,female,2014
14:59.2,Sifan Hassan (Holland),h,5000m,female,2014
14:59.5,Meraf Bahta (Sweden),Sweden,5000m,female,2014
14:59.7,Maryam Jamal (Bahrain),Bahrain,5000m,female,2014
15:00.2,Agnes Tirop (Kenya),Kenya,5000m,female,2014
15:00.9,Mimi Belete (Bahrain),Bahrain,5000m,female,2014
15:01.7,Irene Jelagat (Kenya),Kenya,5000m,female,2014
15:04.7,Katie Mackey (US),United States,5000m,female,2014
15:04.9,Jo Pavey (Great Britain),Great Britain,5000m,female,2014
15:05.0,Laura Thweatt (US),United States,5000m,female,2014
15:07.5,Emelia Gorecka (Great Britain),Great Britain,5000m,female,2014
15:07.6,Clémence Calvin (France),France,5000m,female,2014
15:08.3,Selly Chepyego (Kenya),Kenya,5000m,female,2014
15:08.6,Kim Conley (US),United States,5000m,female,2014
15:09.6,Hiwot Ayalew (Ethiopia),Ethiopia,5000m,female,2014
15:10.4,Margaret Muriuki (Kenya),Kenya,5000m,female,2014
15:10.5,Alemitu Hawi (Ethiopia),Ethiopia,5000m,female,2014
15:11.1,Aisling Cuffe (US),United States,5000m,female,2014
15:11.4,Etagegne Woldu (Ethiopia),Ethiopia,5000m,female,2014
15:11.7,Julia Bleasdale (Great Britain),Great Britain,5000m,female,2014
15:12.5,Changqin Ding (China),China,5000m,female,2014
15:12.8,Marielle Hall (US),United States,5000m,female,2014
15:13.2,Jessica O’Connell (Canada),Canada,5000m,female,2014
15:14.7,Yekaterina Korobkina (Russia),Russia,5000m,female,2014
15:15.0,Ayuko Suzuki (Japan),Japan,5000m,female,2014
15:15.0,Eloise Wellings (Australia),Australia,5000m,female,2014
15:15.1,Stacy Ndiwa (Kenya),Kenya,5000m,female,2014
15:15.7,Tejitu Daba (Bahrain),Bahrain,5000m,female,2014
15:16.0,Christine Bardelle (France),France,5000m,female,2014
15:16.5,Perine Nengampi (Kenya),Kenya,5000m,female,2014
15:16.8,Buze Diriba (Ethiopia),Ethiopia,5000m,female,2014
30:42.3,Sally Kipyego (Kenya),Kenya,10000m,female,2014
30:47.6,Molly Huddle (US),United States,10000m,female,2014
30:57.3,Betsy Saina (Kenya),Kenya,10000m,female,2014
31:28.1,Selly Chepyego (Kenya),Kenya,10000m,female,2014
31:39.7,Jordan Hasay (US),United States,10000m,female,2014
31:41.8,Ayumi Hagiwara (Japan),Japan,10000m,female,2014
31:42.0,Julia Bleasdale (Great Britain),Great Britain,10000m,female,2014
31:43.1,Almensch Belete (Belgium),Belgium,10000m,female,2014
31:45.2,Doricah Obare (Kenya),Kenya,10000m,female,2014
31:48.6,Florence Kiplagat (Kenya),Kenya,10000m,female,2014
31:48.7,Kim Conley (US),United States,10000m,female,2014
